Sunday_date,Age_group,hosp_unvaccinated_rel,hosp_after_1st_dose_rel,hosp_after_2nd_dose_rel,hosp_after_3rd_dose_rel
2021-06-13,50-59,0.0,0.0,1.3965037133033737e-06,
2021-06-13,60-69,1.197563766861731e-05,0.0,1.5527926198872363e-06,
2021-06-13,70-79,4.007089663006081e-05,8.021175904387583e-05,2.1952258228803997e-06,
2021-06-13,80-89,8.341802739652073e-05,0.0,4.864002490369275e-06,
2021-06-13,90+,0.0,0.0,2.161601314253599e-05,
2021-06-20,0-19,1.7591621633016796e-06,0.0,0.0,
2021-06-20,20-29,3.678066970513803e-06,0.0,0.0,
2021-06-20,30-39,4.579143871024007e-06,0.0,0.0,
2021-06-20,40-49,5.707662145649325e-06,1.8674136321195144e-05,1.125890297752948e-06,
2021-06-20,50-59,1.0393172689659624e-05,2.4437927663734115e-05,1.3953287185161516e-06,
2021-06-20,60-69,1.2054167518994043e-05,3.6138918000795055e-05,1.5518841425374547e-06,
2021-06-20,70-79,4.051245336004398e-05,0.0,2.194045798511998e-06,
2021-06-20,80-89,8.443224405620832e-05,0.00017094017094017094,4.8615905179538535e-06,
2021-06-20,90+,0.00012858504575686451,0.0,0.0,
2021-06-27,0-19,2.166860437553893e-06,0.0,0.0,
2021-06-27,20-29,2.6254796963240223e-05,0.0,1.069535874907084e-06,
2021-06-27,30-39,4.673390022755388e-06,1.5591867282025697e-05,1.0788743456627094e-06,
2021-06-27,40-49,5.81141666352999e-06,0.0,1.1245735054980398e-06,
2021-06-27,50-59,1.0616724468990044e-05,2.3706794367265658e-05,1.3938428386445714e-06,
2021-06-27,60-69,1.2215999337966558e-05,0.0,1.5507241881958875e-06,
2021-06-27,70-79,4.134321115727061e-05,7.869058860560277e-05,1.9734202222948247e-05,
2021-06-27,80-89,8.634969783045677e-05,0.0,4.858378273332362e-05,
2021-06-27,90+,0.0,0.0,2.156473734149918e-05,
2021-07-04,0-19,3.718044156575798e-07,0.0,2.607228802578028e-06,
2021-07-04,20-29,3.851072190937712e-06,1.134687393623057e-05,1.067598181666777e-06,
2021-07-04,30-39,4.793991795981052e-06,1.4718003061344637e-05,1.0770442029711341e-06,
2021-07-04,40-49,5.95532025077815e-06,0.0,1.1230617358266801e-06,
2021-07-04,50-59,1.0912502362756708e-05,2.272314124704599e-05,1.3924318543850465e-06,
2021-07-04,60-69,1.2435976427932289e-05,3.4251267296889986e-05,2.6340254105980786e-05,
2021-07-04,70-79,4.2662538291428175e-05,7.584376185058778e-05,3.50621915622836e-05,
